Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mettre_en_place_contrat_credit_auto,Chrome 122.0.0.0,,,05-03-2024 10:26:15,05-03-2024 10:27:29,"1m - 14,402s",PASSED
,,,,,,,
Test Cases/Mettre_en_place_contrat_credit,Chrome 122.0.0.0,,,05-03-2024 10:26:16,05-03-2024 10:27:29,"1m - 13,889s",PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 10:26:17,05-03-2024 10:26:26,"9,312s",PASSED
"navigateToUrl(""http://credit-auto.qsiconseil.ma/"")",Chrome 122.0.0.0,,,05-03-2024 10:26:26,05-03-2024 10:26:30,"3,916s",PASSED
"click(findTestObject(""Object Repository/Page_Mettre en place contrat credit/a_Acces Crdit Auto""))",Chrome 122.0.0.0,,,05-03-2024 10:26:30,05-03-2024 10:26:32,"1,464s",PASSED
"verifyElementText(findTestObject(""Page_Crdit Auto  QSI Conseil/legend_Connectez-vous""), ""Connectez-vous"")",Chrome 122.0.0.0,,,05-03-2024 10:26:32,05-03-2024 10:26:32,"0,425s",PASSED
"setText(findTestObject(""Object Repository/Page_Mettre en place contrat credit/input_concat(Nom d, , utilisateur)__username""), ""gcd"")",Chrome 122.0.0.0,,,05-03-2024 10:26:32,05-03-2024 10:26:33,"0,990s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mettre en place contrat credit/input_Mot de passe__password""), ""oA9cdRZTG5bKwKvIkkeDQw=="")",Chrome 122.0.0.0,,,05-03-2024 10:26:33,05-03-2024 10:26:34,"1,082s",PASSED
"click(findTestObject(""Object Repository/Page_Mettre en place contrat credit/button_Se connecter""))",Chrome 122.0.0.0,,,05-03-2024 10:26:34,05-03-2024 10:26:35,"1,275s",PASSED
"verifyElementText(findTestObject(""Page_Crdit Auto  QSI Conseil/h4_Bienvenue sur lapplication Crdit Auto""), ""Bienvenue sur l'application Crédit Auto"")",Chrome 122.0.0.0,,,05-03-2024 10:26:35,05-03-2024 10:26:36,"0,469s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/a_Credit""))",Chrome 122.0.0.0,,,05-03-2024 10:26:36,05-03-2024 10:26:36,"0,389s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/a_Creer contrat de credit auto""))",Chrome 122.0.0.0,,,05-03-2024 10:26:36,05-03-2024 10:26:37,"1,097s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/h3_Creation dun contrat de crdit""), ""Création d'un contrat de crédit"")",Chrome 122.0.0.0,,,05-03-2024 10:26:37,05-03-2024 10:26:38,"0,499s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/legend_Simulation dun crdit""), ""Simulation d'un crédit"")",Chrome 122.0.0.0,,,05-03-2024 10:26:38,05-03-2024 10:26:38,"0,369s",PASSED
"setText(findTestObject(""Page_Mettre en place contrat credit/input_Montant achat_montantAchats""), ""30000"")",Chrome 122.0.0.0,,,05-03-2024 10:26:38,05-03-2024 10:26:39,"0,804s",PASSED
"setText(findTestObject(""Page_Mettre en place contrat credit/input_Montant credit_montantCredits""), ""27000"")",Chrome 122.0.0.0,,,05-03-2024 10:26:39,05-03-2024 10:26:40,"0,925s",PASSED
"setText(findTestObject(""Page_Mettre en place contrat credit/input_Duree_durees""), ""30"")",Chrome 122.0.0.0,,,05-03-2024 10:26:40,05-03-2024 10:26:41,"0,768s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/button_Calculer credit""))",Chrome 122.0.0.0,,,05-03-2024 10:26:41,05-03-2024 10:26:42,"1,084s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/legend_Nouveau contrat""), ""Nouveau contrat"")",Chrome 122.0.0.0,,,05-03-2024 10:26:42,05-03-2024 10:26:42,"0,460s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/div_Echeancier""))",Chrome 122.0.0.0,,,05-03-2024 10:26:42,05-03-2024 10:26:43,"0,396s",PASSED
"verifyElementPresent(findTestObject(""Page_Mettre en place contrat credit/div_Tableau echeances""), 30)",Chrome 122.0.0.0,,,05-03-2024 10:26:43,05-03-2024 10:26:43,"0,478s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/a_Creer contrat""))",Chrome 122.0.0.0,,,05-03-2024 10:26:43,05-03-2024 10:26:45,"1,290s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/legend_Rechercher un client""), ""Rechercher un client"")",Chrome 122.0.0.0,,,05-03-2024 10:26:45,05-03-2024 10:26:45,"0,467s",PASSED
"setText(findTestObject(""Page_Mettre en place contrat credit/input_Prenom_firstname""), ""Jean"")",Chrome 122.0.0.0,,,05-03-2024 10:26:45,05-03-2024 10:26:46,"0,760s",PASSED
"setText(findTestObject(""Page_Mettre en place contrat credit/input_Nom_names""), ""DUCLOS"")",Chrome 122.0.0.0,,,05-03-2024 10:26:46,05-03-2024 10:26:47,"0,759s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/input_Prenom_btnRechercher""))",Chrome 122.0.0.0,,,05-03-2024 10:26:47,05-03-2024 10:26:48,"1,026s",PASSED
"verifyElementVisible(findTestObject(""Page_Mettre en place contrat credit/table_Numero de compte""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,05-03-2024 10:26:48,05-03-2024 10:26:48,"0,401s",PASSED
"executeJavaScript(""document.querySelector(""#customControlValidation2"").click()"", [])",Chrome 122.0.0.0,,,05-03-2024 10:26:48,05-03-2024 10:26:48,"0,064s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/button_Valide""))",Chrome 122.0.0.0,,,05-03-2024 10:26:48,05-03-2024 10:26:49,"0,503s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/i_Contrat de credit""), ""Contrat de crédit"")",Chrome 122.0.0.0,,,05-03-2024 10:26:49,05-03-2024 10:26:56,"7,664s",PASSED
"verifyElementText(findTestObject(""Page_Mettre en place contrat credit/p_Resume du contrat""), ""Résumé du contrat"")",Chrome 122.0.0.0,,,05-03-2024 10:26:56,05-03-2024 10:26:56,"0,333s",PASSED
"click(findTestObject(""Page_Mettre en place contrat credit/button_Imprime""))",Chrome 122.0.0.0,,,05-03-2024 10:26:56,05-03-2024 10:26:57,"0,480s",PASSED
delay(15),Chrome 122.0.0.0,,,05-03-2024 10:26:57,05-03-2024 10:27:12,"15,086s",PASSED
switchToWindowIndex(0),Chrome 122.0.0.0,,,05-03-2024 10:27:12,05-03-2024 10:27:12,"0,104s",PASSED
delay(15),Chrome 122.0.0.0,,,05-03-2024 10:27:12,05-03-2024 10:27:27,"15,012s",PASSED
"click(findTestObject(""Object Repository/Page_Mettre en place contrat credit/button_Enregistre""))",Chrome 122.0.0.0,,,05-03-2024 10:27:27,05-03-2024 10:27:28,"0,407s",PASSED
"verifyElementVisible(findTestObject(""Page_Mettre en place contrat credit/div_Contrat cree avec succes""), STOP_ON_FAILURE)",Chrome 122.0.0.0,,,05-03-2024 10:27:28,05-03-2024 10:27:28,"0,385s",PASSED
"click(findTestObject(""Object Repository/Page_Mettre en place contrat credit/a_Deconnexion""))",Chrome 122.0.0.0,,,05-03-2024 10:27:28,05-03-2024 10:27:29,"0,808s",PASSED
"verifyElementPresent(findTestObject(""Page_Mettre en place contrat credit/a_Credit Auto""), 30)",Chrome 122.0.0.0,,,05-03-2024 10:27:29,05-03-2024 10:27:29,"0,355s",PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 10:27:29,05-03-2024 10:27:29,"0,349s",PASSED
